0	-0.052845
-1.45630908	1
-2.83962798	2
-4.18315872	3
-4.95453882	4
-5.16046968	5
-5.21263044	6
-5.2300755	7
-5.23785504	8
-5.2430856	9
-5.24631186	10
-5.24834268	11
-5.25046122	12
-5.25218502	13
-5.25372522	14
-5.25535212	15
-5.25706674	16
-5.25886806	17
-5.26075914	18
-5.26273692	19
-5.26480344	20
-5.26667922	21
-5.26850808	22
-5.27042466	23
-5.27248404	24
-5.27452812	25
-5.27671398	26
-5.2789896	27
-5.281356	28
-5.2839417	29
-5.28636216	30
-5.28900294	31
-5.2917345	32
-5.2945599	33
-5.2974771	34
-5.30048814	35
-5.30359302	36
-5.30679276	37
-5.31008736	38
-5.31347682	39
-5.31696216	40
-5.3205444	41
-5.32422354	42
-5.32799958	43
-5.33187456	44
-5.3358495	45
-5.33992236	46
-5.3440962	47
-5.34837102	48
-5.35274682	49
-5.35722564	50
